content,tokens,context,questions,answers
"I got appointed as a director on a company’s board of directors for the first time in January 2012, I was 29 years old and had heard the term fiduciary duty for the very first time.
The company in question was Inbox Business Technologies, Pakistan’s largest system integrator / technology services company by revenue. My appointment happened because Dawood Hercules Group (DH) owned a majority stake in Inbox and I was working with DH to launch a private equity firm called Cyan.
I remember being overwhelmed, not knowing where to turn for advice. The existing set of directors who I had interacted with didn’t have a uniform understanding of what it meant to be a good director. So I naturally turned to the web as I do for everything else. I came across two books I) Boards that Lead and II) CEO’s Boss. While the text was prescriptive and relevant I had a really hard time figuring out how to draw the line between “being strategic” and “being too operational”.
In the years to come DH ended up appointing me on the boards of their most important companies including Engro Corporation and Engro Foods. I’m still not sure what I did right and what I did wrong, unfortunately a method to evaluate a director’s performance doesn’t exist or when it does is rarely implemented. However, I wish there existed a write-up back then for rookie or first time board members. This is that write up and contains some advice for first time directors.",318,"I got appointed as a director on a company’s board of directors for the first time in January 2012, I was 29 years old and had heard the term fiduciary duty for the very first time.
The company in question was Inbox Business Technologies, Pakistan’s largest system integrator / technology services company by revenue. My appointment happened because Dawood Hercules Group (DH) owned a majority stake in Inbox and I was working with DH to launch a private equity firm called Cyan.
I remember being overwhelmed, not knowing where to turn for advice. The existing set of directors who I had interacted with didn’t have a uniform understanding of what it meant to be a good director. So I naturally turned to the web as I do for everything else. I came across two books I) Boards that Lead and II) CEO’s Boss. While the text was prescriptive and relevant I had a really hard time figuring out how to draw the line between “being strategic” and “being too operational”.
In the years to come DH ended up appointing me on the boards of their most important companies including Engro Corporation and Engro Foods. I’m still not sure what I did right and what I did wrong, unfortunately a method to evaluate a director’s performance doesn’t exist or when it does is rarely implemented. However, I wish there existed a write-up back then for rookie or first time board members. This is that write up and contains some advice for first time directors.","1. What is a fiduciary duty?
2. What did the author do when he first became a director?
3. What did the author learn from reading two books?
4. What advice would the author give to first time directors?","1. A fiduciary duty is a responsibility that a director has to the company that they are a director of.
2. The author turned to the web for advice when he first became a director.
3. The author learned that it is important to be strategic but not too operational.
4. The author would advise first time directors to be strategic but not too operational."
"1. Read the board materials thoroughly and make notes
As obvious as that sounds, at least in my experience I found that most directors at best skimmed through board materials as opposed to a diligent read. This was reflected in many questions they asked which were actually addressed in the pack. Now it is the Management’s job to prepare a precise pack but it’s unfair to put the entire responsibility on Management. Boards need to do their part and it starts with diligent reading, note taking and research.",103,"1. Read the board materials thoroughly and make notes
As obvious as that sounds, at least in my experience I found that most directors at best skimmed through board materials as opposed to a diligent read. This was reflected in many questions they asked which were actually addressed in the pack. Now it is the Management’s job to prepare a precise pack but it’s unfair to put the entire responsibility on Management. Boards need to do their part and it starts with diligent reading, note taking and research.",1.,"1. Boards need to do their part and it starts with diligent reading, note taking and research."
"2. Invest time in really getting to know the CEO outside the board room
Group mentality really kicks in during board meetings. The most influential or loudest voice often ends up trumping the group’s opinion and that leads to pretty wild swings on opinions related to some very important matters. Getting to know the CEO outside the board room helps in understanding what the board is talking about and what “really needs to be talked about”. The latter cannot be had in a formal boardroom like environment.",103,"2. Invest time in really getting to know the CEO outside the board room
Group mentality really kicks in during board meetings. The most influential or loudest voice often ends up trumping the group’s opinion and that leads to pretty wild swings on opinions related to some very important matters. Getting to know the CEO outside the board room helps in understanding what the board is talking about and what “really needs to be talked about”. The latter cannot be had in a formal boardroom like environment.","1. What is the group mentality like during board meetings?
2. Who tends to be the most influential or loudest voice during board meetings?
3. What are some of the most important matters that are often discussed during board meetings?
4. How can getting to know the CEO outside the board room help in understanding board meetings?
5. What is the importance of understanding what ""really needs to be talked about"" during board meetings?","1. The group mentality during board meetings is often characterized by loud voices and strong opinions.
2. The most influential or loudest voice during board meetings is often the CEO.
3. Some of the most important matters that are often discussed during board meetings are the company's strategy, financials, and operations.
4. Getting to know the CEO outside the board room can help in understanding what the board is talking about and what ""really needs to be talked about"".
5. The importance of understanding what ""really needs to be talked about"" during board meetings is that it can help the board make better decisions."
"3. Get to know the company’s customers and competitors
Board meetings are often a one way communication where Management tells the board what’s going on. Very often, boards have no way of verifying whether assumptions proposed by Management are indeed inline with industry norms. Specifically pay attention to situations where company’s performance is not in line with the industry’s. I recall one company I was involved with, in a year where the entire industry made money, the company I was associated with lost money. Primarily because their cost base was so far off from industry norms.",119,"3. Get to know the company’s customers and competitors
Board meetings are often a one way communication where Management tells the board what’s going on. Very often, boards have no way of verifying whether assumptions proposed by Management are indeed inline with industry norms. Specifically pay attention to situations where company’s performance is not in line with the industry’s. I recall one company I was involved with, in a year where the entire industry made money, the company I was associated with lost money. Primarily because their cost base was so far off from industry norms.","1. What is the main purpose of board meetings?
2. What should boards pay attention to in order to verify Management's assumptions?
3. Why was the company in question not in line with industry norms?","1. The main purpose of board meetings is for Management to update the board on the company's progress and for the board to ask questions.
2. Boards should pay attention to whether company performance is in line with industry norms, specifically looking at cost base comparisons.
3. The company in question was not in line with industry norms because their cost base was far off from industry norms."
"4. “Grilling” Management or “making a point” is not the point
Very often board meetings become an interrogation. There are some nice catch phrases directors will use such as “this is a board room and not a court room”. That said, the hardest part in being a rookie director is in trying really hard to convince others and yourself that you indeed add value. There’s a tendency to start grilling management unnecessarily to show that you add value. I surely did that. I was fortunate to have worked with an amazing CEO who helped me reform and realize that I couldn’t truly get effective if I wasn’t comfortable in my own skin.",144,"4. “Grilling” Management or “making a point” is not the point
Very often board meetings become an interrogation. There are some nice catch phrases directors will use such as “this is a board room and not a court room”. That said, the hardest part in being a rookie director is in trying really hard to convince others and yourself that you indeed add value. There’s a tendency to start grilling management unnecessarily to show that you add value. I surely did that. I was fortunate to have worked with an amazing CEO who helped me reform and realize that I couldn’t truly get effective if I wasn’t comfortable in my own skin.",1.,1. The author describes how they changed their behavior as a director in order to be more effective.
"5. Stop trying to justify your presence to yourself
Insecurities kick in for a rookie director in a pretty big way. I found myself often thinking “wow I don’t belong here” or “how on earth did I get here”. That insecurity often leads to unnatural behavior which is usually guided by pleasing the popular opinion in the room. That’s exactly what one must not do. Instead I found that holding my own and sharing what my authentic self truly thought proved most valuable for stakeholders involved.

6. Your duty is towards all stakeholders and not just shareholders
Directors are appointed by shareholders and shareholders can fire directors. This often leads to a view, as it did with me, that allegiance is solely with shareholders. Such a view is shortsighted because unless all stakeholders, particularly Management, believe that everyone is playing on the same team, incentives can never be aligned. Therefore, optimizing asks for shareholders alone is often a recipe for disaster.",200,"5. Stop trying to justify your presence to yourself
Insecurities kick in for a rookie director in a pretty big way. I found myself often thinking “wow I don’t belong here” or “how on earth did I get here”. That insecurity often leads to unnatural behavior which is usually guided by pleasing the popular opinion in the room. That’s exactly what one must not do. Instead I found that holding my own and sharing what my authentic self truly thought proved most valuable for stakeholders involved.

6. Your duty is towards all stakeholders and not just shareholders
Directors are appointed by shareholders and shareholders can fire directors. This often leads to a view, as it did with me, that allegiance is solely with shareholders. Such a view is shortsighted because unless all stakeholders, particularly Management, believe that everyone is playing on the same team, incentives can never be aligned. Therefore, optimizing asks for shareholders alone is often a recipe for disaster.","1. What are the consequences of directors not pleasing the popular opinion in the room?
2. How can a rookie director hold their own and share their authentic self in order to be most valuable to stakeholders involved?
3. Why is it important for directors to have an allegiance to all stakeholders and not just shareholders?","1. If directors do not please the popular opinion in the room, they may lose their job.
2. A rookie director can hold their own by sharing their authentic self and being honest about their thoughts and feelings.
3. Directors should have an allegiance to all stakeholders because it is important for incentives to be aligned."
"7. Fire the CEO if you feel you must get too “operational”
There’s a thin line between strategic decisions and operational decisions. Pricing a product may be an operational decision for many businesses but the thought process behind setting prices is indeed a strategic decision. Sitting on the sidelines and saying “well I’ve given my input” is not enough. If sh*t is about to hit the fan, then be prepared to roll sleeves and let the CEO know that you are a resource who is available to put up a fight if needed. Too many directors continue to sit on the sidelines because sometimes it’s just too convenient to focus solely on the “big picture”.

That said, the most important decision a board makes is hiring the CEO. If a CEO isn’t executing properly then don’t be afraid to fire the CEO.",185,"7. Fire the CEO if you feel you must get too “operational”
There’s a thin line between strategic decisions and operational decisions. Pricing a product may be an operational decision for many businesses but the thought process behind setting prices is indeed a strategic decision. Sitting on the sidelines and saying “well I’ve given my input” is not enough. If sh*t is about to hit the fan, then be prepared to roll sleeves and let the CEO know that you are a resource who is available to put up a fight if needed. Too many directors continue to sit on the sidelines because sometimes it’s just too convenient to focus solely on the “big picture”.

That said, the most important decision a board makes is hiring the CEO. If a CEO isn’t executing properly then don’t be afraid to fire the CEO.","1. What is the difference between a strategic decision and an operational decision?
2. What is the most important decision a board makes?
3. What should a director do if they feel the CEO is not executing properly?
4. Why do some directors choose to only focus on the big picture?","1. A strategic decision is a decision that is made in order to achieve a long-term goal, while an operational decision is a decision that is made in order to achieve a short-term goal.
2. The most important decision a board makes is hiring the CEO.
3. If a CEO isn’t executing properly, a director should roll up their sleeves and be prepared to put up a fight if needed.
4. Some directors choose to only focus on the big picture because it is more convenient than getting too involved in the day-to-day operations of the company."
"That said, the most important decision a board makes is hiring the CEO. If a CEO isn’t executing properly then don’t be afraid to fire the CEO.

8. Insist on director evaluations, if not formalized, ask for your own evaluation after every meeting
I love how Ray Dalio runs his meetings and how participants can rank each other’s input on a set of criterion. The same must be done for board meetings. If you are a rookie director, you are very fortunate and you must try to be the best director you can be. This can’t happen without feedback. It’s very hard to obtain tangible feedback and if such mechanism don’t exist, then seek feedback any way possible.",155,"That said, the most important decision a board makes is hiring the CEO. If a CEO isn’t executing properly then don’t be afraid to fire the CEO.

8. Insist on director evaluations, if not formalized, ask for your own evaluation after every meeting
I love how Ray Dalio runs his meetings and how participants can rank each other’s input on a set of criterion. The same must be done for board meetings. If you are a rookie director, you are very fortunate and you must try to be the best director you can be. This can’t happen without feedback. It’s very hard to obtain tangible feedback and if such mechanism don’t exist, then seek feedback any way possible.","1. What is the most important decision a board makes?
2. What should a board do if a CEO isn't executing properly?
3. How can a director become the best director they can be?
4. How can feedback be obtained effectively?","1. The most important decision a board makes is hiring the CEO.
2. If a CEO isn't executing properly, the board should be afraid to fire the CEO.
3. A director can become the best director they can be by seeking feedback effectively.
4. Feedback can be obtained effectively by using mechanisms like director evaluations or by asking for feedback after every meeting."
"9. Listen to understand and respond as opposed to gloss over and react.
This goes back to insecurities and being worried that “you don’t belong”. Perhaps the worst attribute I’ve seen from directors is being verbose and not listening to understand but instead listening to react. Very often one runs into directors who are there to outshine others and make Management look bad in order to justify their own self worth. Such directors are awful for companies and the only purpose they serve is to satisfy their own fragile egos.

10. There’s no right answer!
In all my research to understand what makes a good director I ended up finding more questions than answers. I concluded that there’s no right answer. So long as you can be authentic, put in the effort, be prepared, get to know the stakeholders involved and provide input that’s genuinely in the company’s best interest you will end up doing a really great job.",204,"9. Listen to understand and respond as opposed to gloss over and react.
This goes back to insecurities and being worried that “you don’t belong”. Perhaps the worst attribute I’ve seen from directors is being verbose and not listening to understand but instead listening to react. Very often one runs into directors who are there to outshine others and make Management look bad in order to justify their own self worth. Such directors are awful for companies and the only purpose they serve is to satisfy their own fragile egos.

10. There’s no right answer!
In all my research to understand what makes a good director I ended up finding more questions than answers. I concluded that there’s no right answer. So long as you can be authentic, put in the effort, be prepared, get to know the stakeholders involved and provide input that’s genuinely in the company’s best interest you will end up doing a really great job.","1. What makes a good director?
2. What are the attributes of a bad director?
3. What are the benefits of being a good director?","1. A good director is someone who is authentic, puts in the effort, is prepared, and gets to know the stakeholders involved.
2. A bad director is someone who is verbose and does not listen to understand, but instead listens to react.
3. The benefits of being a good director are that you can help the company achieve its goals and objectives, and you can help to improve communication and collaboration."
"Thousands of years ago many different tribes lived along the Yellow River in China. Many of them depended on the river for survival and prosperity, but all of them also suffered from periodical floods and draughts. No tribe could do anything because each of them controlled just one section of the river. Eventually all these tribes came together to form the Chinese nation which got an opportunity to control the entire length of the Yellow River. This coming together of tribes allowed the Chinese nation to bring thousands of people together to build canals and dams in order to regulate the river and prevent the worst floods or draughts.
Today, in the words of my favorite historian, “we are all living alongside the same cyber river, and no single nation can regulate this river by itself”. While I fully agree with Yuval Harari that overcoming present day challenges like climate change will require global coordination, I want to emphasize that the “we” he speaks of, only includes half of us, because even now half the human population cannot afford to access the internet. How can we achieve global coordination when 4 billion people cannot get online? I don’t think that’s possible.",240,"Thousands of years ago many different tribes lived along the Yellow River in China. Many of them depended on the river for survival and prosperity, but all of them also suffered from periodical floods and draughts. No tribe could do anything because each of them controlled just one section of the river. Eventually all these tribes came together to form the Chinese nation which got an opportunity to control the entire length of the Yellow River. This coming together of tribes allowed the Chinese nation to bring thousands of people together to build canals and dams in order to regulate the river and prevent the worst floods or draughts.
Today, in the words of my favorite historian, “we are all living alongside the same cyber river, and no single nation can regulate this river by itself”. While I fully agree with Yuval Harari that overcoming present day challenges like climate change will require global coordination, I want to emphasize that the “we” he speaks of, only includes half of us, because even now half the human population cannot afford to access the internet. How can we achieve global coordination when 4 billion people cannot get online? I don’t think that’s possible.","1. What is the main point of the text?
2. What is the difference between the Chinese nation and ""we"" today?
3. How can global coordination be achieved when 4 billion people cannot get online?","1. The main point of the text is that it is difficult for a single nation to regulate a river by itself.
2. The Chinese nation was able to bring together thousands of people to build canals and dams in order to regulate the river. ""We"" today refers to the global population, half of which cannot afford to access the internet.
4. Global coordination can be achieved when 4 billion people can get online by providing them with access to the internet."
